"CITATIONS","LOCATION","LOCATION COMMENT","LATITUDE MIN","LATITUDE MAX","LONGITUDE MIN","LONGITUDE MAX","LAND OR SEA","ELEVATION MIN","ELEVATION MAX","SAMPLE NAME","ROCK TYPE","ROCK CLASS","ROCK TEXTURE","DRILL DEPTH MIN","DRILL DEPTHAX","ALTERATION","MINERAL","SIO2(WT%)","TIO2(WT%)","B2O3(WT%)","AL2O3(WT%)","CR2O3(WT%)","FE2O3(WT%)","FEO(WT%)","FEOT(WT%)","CAO(WT%)","MGO(WT%)","MNO(WT%)","NIO(WT%)","K2O(WT%)","NA2O(WT%)","P2O5(WT%)","H2O(WT%)","H2OP(WT%)","H2OM(WT%)","H2OT(WT%)","CO2(WT%)","CO1(WT%)","F(WT%)","CL(WT%)","CL2(WT%)","OH(WT%)","CH4(WT%)","SO2(WT%)","SO3(WT%)","SO4(WT%)","S(WT%)","LOI(WT%)","VOLATILES(WT%)","O(WT%)","OTHERS(WT%)","HE(CCM/G)","HE(CCMSTP/G)","HE3(CCMSTP/G)","HE3(AT/G)","HE4(CCM/G)","HE4(CCMSTP/G)","HE4(AT/G)","HE4(MOLE/G)","HE4(NCC/G)","HE(NCC/G)","LI(PPM)","BE(PPM)","B(PPM)","C(PPM)","CO2(PPM)","F(PPM)","NA(PPM)","MG(PPM)","AL(PPM)","P(PPM)","S(PPM)","CL(PPM)","K(PPM)","CA(PPM)","SC(PPM)","TI(PPM)","V(PPM)","CR(PPM)","MN(PPM)","FE(PPM)","CO(PPM)","NI(PPM)","CU(PPM)","ZN(PPM)","GA(PPM)","GE(PPM)","AS(PPM)","SE(PPM)","BR(PPM)","RB(PPM)","SR(PPM)","Y(PPM)","ZR(PPM)","NB(PPM)","MO(PPM)","RU(PPM)","RH(PPM)","PD(PPM)","AG(PPM)","CD(PPM)","IN(PPM)","SN(PPM)","SB(PPM)","TE(PPM)","I(PPM)","CS(PPM)","BA(PPM)","LA(PPM)","CE(PPM)","PR(PPM)","ND(PPM)","SM(PPM)","EU(PPM)","GD(PPM)","TB(PPM)","DY(PPM)","HO(PPM)","ER(PPM)","TM(PPM)","YB(PPM)","LU(PPM)","HF(PPM)","TA(PPM)","W(PPM)","RE(PPM)","OS(PPM)","IR(PPM)","PT(PPM)","AU(PPM)","HG(PPM)","TL(PPM)","PB(PPM)","BI(PPM)","TH(PPM)","U(PPM)","ND143_ND144","ND143_ND144_INI","EPSILON_ND","SR87_SR86","SR87_SR86_INI","PB206_PB204","PB206_PB204_INI","PB207_PB204","PB207_PB204_INI","PB208_PB204","PB208_PB204_INI","OS184_OS188","OS186_OS188","OS187_OS186","OS187_OS188","RE187_OS186","RE187_OS188","HF176_HF177","HE3_HE4","HE3_HE4(R/R(A))","HE4_HE3","HE4_HE3(R/R(A))","K40_AR40","AR40_K40","UNIQUE_ID",
"[4743]","ANDEAN ARC / SOUTHERN ANDEAN VOLCANIC ZONE / CHILE / SAN PEDRO-PELLADO/TATARA / PACIFIC OCEAN","","-36","-36","-70.5","-70.5","SAE","","","s HX14V","PLU","/ GABBRO, XENOLITH [4743] ","","","","","","44.9","0.28","","17.43","","","","8.8","8.99","16.45","0.14","","0.26","1.37","0.07","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","57","252","","","","335","","73","13","","","","","7.2","573","3.5","30","1","","","","","","","","","","","","","88","3.3","6.7","0","3.6","1","0.36","0","","0","0.16","0","0","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","100529",
"[4743]","ANDEAN ARC / SOUTHERN ANDEAN VOLCANIC ZONE / CHILE / SAN PEDRO-PELLADO/TATARA / PACIFIC OCEAN","","-36","-36","-70.5","-70.5","SAE","","","s HX14Z","PLU","/ GABBRO, XENOLITH [4743] ","","","","","","45.8","0.34","","19.5","","","","8.55","9.24","13.31","0.14","","0.47","1.72","0.04","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","91","305","","","","226","","78","15","","","","","14.3","632","4.2","28","1.4","","","","","","","","","","","","","140","4.2","7.9","0","4.1","1.2","0.45","0","","0","0.18","0","0","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","100530",
"[3830]","ANDEAN ARC / SOUTHERN ANDEAN VOLCANIC ZONE / CHILE / SAN PEDRO-PELLADO/TATARA / PACIFIC OCEAN","","-36","-36","-70.5","-70.5","SAE","","","s HX14V","PLU","/ GABBRO, XENOLITH [3830] ","","","","","","73.79","0.33","","13.41","","2.04","0.46","","1.05","0.26","0.06","","4.2","4.05","0.07","","0.44","0.22","","0.04","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","100539",
"[4687]","ANDEAN ARC / NORTHERN ANDEAN VOLCANIC ZONE / ECUADOR / QUIMSACOCHA VOLCANIC CENTER / PACIFIC OCEAN","","-3.0333","-3.034","-79.233","-79.24","SAE","","","s QC-249","VOL","/ ADAKITE [4687] ","","","","","","58.85","0.89","","18.2","","6.07","","","6.65","2.78","0.08","","1","4.3","0.21","","","","","","","","","","","","","","","","0.88","","","","","","","","","","","","","","","","","","","","","","","","","","","","13","","180","18","","","14","6","","","","","","","","16.5","710","34.5","92","3","","","","","","","","","","","","","500","19.4","32.5","","27.5","6","2.1","7.5","","5.2","","2.8","","2.35","","","","","","","","","","","","","","1.3","","","","","","","","","","","","","","","","","","","","","","","","","","100549",
"[4687]","ANDEAN ARC / NORTHERN ANDEAN VOLCANIC ZONE / ECUADOR / QUIMSACOCHA VOLCANIC CENTER / PACIFIC OCEAN","","-3.0333","-3.034","-79.233","-79.24","SAE","","","s QC-150","VOL","/ ADAKITE [4687] ","","","","","","60.1","0.83","","18","","5.35","","","6","2","0.06","","1.3","4.88","0.24","","","","","","","","","","","","","","","","0.93","","","","","","","","","","","","","","","","","","","","","","","","","","","","10","","154","13","","","12","5.5","","","","","","","","22","870","20","100","2.9","","","","","","","","","","","","","640","21","37","","27.5","5.7","1.66","5.2","","3.15","","1.75","","1.42","","","","","","","","","","","","","","1.5","","","","","","","","","","","","","","","","","","","","","","","","","","100550",
"[4687]","ANDEAN ARC / NORTHERN ANDEAN VOLCANIC ZONE / ECUADOR / QUIMSACOCHA VOLCANIC CENTER / PACIFIC OCEAN","","-3.0333","-3.034","-79.233","-79.24","SAE","","","s QC-154","VOL","/ ADAKITE [4687] ","","","","","","60.7","0.83","","17.8","","5.25","","","6.2","2","0.06","","1.32","4.9","0.24","","","","","","","","","","","","","","","","0.53","","","","","","","","","","","","","","","","","","","","","","","","","","","","10","","155","15","","","13","6","","","","","","","","22","885","9","104","3.3","","","","","","","","","","","","","670","16","33","","20","3.9","1.07","2.9","","1.8","","0.85","","0.72","","","","","","","","","","","","","","1.5","","","","","","","","","","","","","","","","","","","","","","","","","","100551",
"[4687]","ANDEAN ARC / NORTHERN ANDEAN VOLCANIC ZONE / ECUADOR / QUIMSACOCHA VOLCANIC CENTER / PACIFIC OCEAN","","-3.0333","-3.034","-79.233","-79.24","SAE","","","s QC-212","VOL","/ ADAKITE [4687] ","","","","","","61.4","0.8","","17.65","","5.35","","","5.9","1.83","0.06","","1.22","4.65","0.22","","","","","","","","","","","","","","","","0.95","","","","","","","","","","","","","","","","","","","","","","","","","","","","9","","152","13","","","12","6","","","","","","","","22","720","10.5","100","3.1","","","","","","","","","","","","","605","14.5","29","","17","3.65","1.04","2.9","","1.85","","0.85","","0.73","","","","","","","","","","","","","","1.7","","","","","","","","","","","","","","","","","","","","","","","","","","100552",
"[4687]","ANDEAN ARC / NORTHERN ANDEAN VOLCANIC ZONE / ECUADOR / QUIMSACOCHA VOLCANIC CENTER / PACIFIC OCEAN","","-3.0333","-3.034","-79.233","-79.24","SAE","","","s QC-205","VOL","/ ADAKITE [4687] ","","","","","","62","0.76","","17.75","","5.2","","","5.6","1.92","0.05","","1.16","4.6","0.19","","","","","","","","","","","","","","","","0.77","","","","","","","","","","","","","","","","","","","","","","","","","","","","11","","155","18","","","12","7","","","","","","","","23","700","8.8","98","2.7","","","","","","","","","","","","","580","13","26","","14.5","3.05","0.88","2.7","","1.65","","0.75","","0.71","","","","","","","","","","","","","","1.6","","","","","","","","","","","","","","","","","","","","","","","","","","100553",
"[4687]","ANDEAN ARC / NORTHERN ANDEAN VOLCANIC ZONE / ECUADOR / QUIMSACOCHA VOLCANIC CENTER / PACIFIC OCEAN","","-3.0333","-3.034","-79.233","-79.24","SAE","","","s QC-153","VOL","/ ADAKITE [4687] ","","","","","","62.4","0.74","","17.45","","4.68","","","5.45","1.62","0.05","","1.47","4.78","0.21","","","","","","","","","","","","","","","","0.75","","","","","","","","","","","","","","","","","","","","","","","","","","","","9","","130","14","","","10","5","","","","","","","","25","830","7.2","110","2.8","","","","","","","","","","","","","740","17","34.5","","18.5","3.6","1.02","2.65","","1.45","","0.7","","0.56","","","","","","","","","","","","","","1.8","","","","","","","","","","","","","","","","","","","","","","","","","","100554",
"[4687]","ANDEAN ARC / NORTHERN ANDEAN VOLCANIC ZONE / ECUADOR / QUIMSACOCHA VOLCANIC CENTER / PACIFIC OCEAN","","-3.0333","-3.034","-79.233","-79.24","SAE","","","s QC-246","VOL","/ ADAKITE [4687] ","","","","","","62","0.76","","17.8","","5.18","","","5","1.28","0.06","","1.28","4.33","0.2","","","","","","","","","","","","","","","","1.95","","","","","","","","","","","","","","","","","","","","","","","","","","","","10","","148","14","","","12","6","","","","","","","","22.5","627","8.4","110","3.6","","","","","","","","","","","","","735","13.3","28.5","","15.3","3.35","0.94","2.75","","1.6","","0.7","","0.67","","","","","","","","","","","","","","1.7","","","","","","","","","","","","","","","","","","","","","","","","","","100555",
"[4687]","ANDEAN ARC / NORTHERN ANDEAN VOLCANIC ZONE / ECUADOR / QUIMSACOCHA VOLCANIC CENTER / PACIFIC OCEAN","","-3.0333","-3.034","-79.233","-79.24","SAE","","","s QC-141","VOL","/ ADAKITE [4687] ","","","","","","63","0.67","","17.55","","4.33","","","5.2","1.66","0.05","","1.4","4.8","0.2","","","","","","","","","","","","","","","","0.64","","","","","","","","","","","","","","","","","","","","","","","","","","","","8","","112","12","","","9","5","","","","","","","","28.5","685","12.2","115","3.1","","","","","","","","","","","","","725","16.5","33","","20","3.7","1.05","3.1","","1.8","","0.95","","0.77","","","","","","","","","","","","","","1.9","","","","","","","","","","","","","","","","","","","","","","","","","","100556",
"[4687]","ANDEAN ARC / NORTHERN ANDEAN VOLCANIC ZONE / ECUADOR / QUIMSACOCHA VOLCANIC CENTER / PACIFIC OCEAN","","-3.0333","-3.034","-79.233","-79.24","SAE","","","s QC-142","VOL","/ ADAKITE [4687] ","","","","","","63.25","0.67","","17.7","","4.37","","","4.8","1.49","0.05","","1.38","4.55","0.19","","","","","","","","","","","","","","","","1.22","","","","","","","","","","","","","","","","","","","","","","","","","","","","8.2","","114","12","","","9","4.5","","","","","","","","28.5","630","13.6","115","3.1","","","","","","","","","","","","","740","15.8","31.5","","17","3.3","0.99","2.9","","1.65","","0.95","","0.78","","","","","","","","","","","","","","1.7","","","","","","","","","","","","","","","","","","","","","","","","","","100557",
"[4687]","ANDEAN ARC / NORTHERN ANDEAN VOLCANIC ZONE / ECUADOR / QUIMSACOCHA VOLCANIC CENTER / PACIFIC OCEAN","","-3.0333","-3.034","-79.233","-79.24","SAE","","","s QC-143","VOL","/ ADAKITE [4687] ","","","","","","58.8","0.95","","18.35","","5.9","","","6.8","2.73","0.07","","1.06","4.62","0.23","","","","","","","","","","","","","","","","0.58","","","","","","","","","","","","","","","","","","","","","","","","","","","","13","","190","21","","","14","8","","","","","","","","14.5","785","9.1","88","3","","","","","","","","","","","","","492","17.5","26.5","","16","3.15","0.99","2.7","","1.8","","0.85","","0.74","","","","","","","","","","","","","","1.2","","","","","","","","","","","","","","","","","","","","","","","","","","100558",
"[4687]","ANDEAN ARC / NORTHERN ANDEAN VOLCANIC ZONE / ECUADOR / QUIMSACOCHA VOLCANIC CENTER / PACIFIC OCEAN","","-3.0333","-3.034","-79.233","-79.24","SAE","","","s QC-146","VOL","/ ADAKITE [4687] ","","","","","","60.3","0.84","","17.9","","5.6","","","6.3","2.54","0.07","","1.24","4.7","0.22","","","","","","","","","","","","","","","","0.44","","","","","","","","","","","","","","","","","","","","","","","","","","","","13","","180","19","","","14","8","","","","","","","","20","825","11","100","3","","","","","","","","","","","","","595","16.5","35.5","","21","4.05","1.1","3.4","","2.15","","1","","0.86","","","","","","","","","","","","","","1.6","","","","","","","","","","","","","","","","","","","","","","","","","","100559",
"[4687]","ANDEAN ARC / NORTHERN ANDEAN VOLCANIC ZONE / ECUADOR / QUIMSACOCHA VOLCANIC CENTER / PACIFIC OCEAN","","-3.0333","-3.034","-79.233","-79.24","SAE","","","s QC-145","VOL","/ ADAKITE [4687] ","","","","","","60.5","0.83","","17.75","","5.6","","","6.1","2.49","0.07","","1.3","4.62","0.22","","","","","","","","","","","","","","","","0.64","","","","","","","","","","","","","","","","","","","","","","","","","","","","13","","178","20","","","12.5","7.5","","","","","","","","21","800","9.5","105","3","","","","","","","","","","","","","620","14","31","","17.5","3.5","1.02","3","","1.85","","0.85","","0.77","","","","","","","","","","","","","","1.8","","","","","","","","","","","","","","","","","","","","","","","","","","100560",
"[4687]","ANDEAN ARC / NORTHERN ANDEAN VOLCANIC ZONE / ECUADOR / QUIMSACOCHA VOLCANIC CENTER / PACIFIC OCEAN","","-3.0333","-3.034","-79.233","-79.24","SAE","","","s QC-140","VOL","/ ADAKITE [4687] ","","","","","","71","0.25","","15.55","","1.93","","","3.04","0.45","0.03","","2.03","4.8","0.09","","","","","","","","","","","","","","","","0.8","","","","","","","","","","","","","","","","","","","","","","","","","","","","3","","31","4","","","3","2","","","","","","","","49.5","545","5.2","58","3.1","","","","","","","","","","","","","1040","13.5","26.5","","12.5","2.3","0.61","1.7","","1","","0.45","","0.4","","","","","","","","","","","","","","2.2","","","","","","","","","","","","","","","","","","","","","","","","","","100561",
"[4687]","ANDEAN ARC / NORTHERN ANDEAN VOLCANIC ZONE / ECUADOR / QUIMSACOCHA VOLCANIC CENTER / PACIFIC OCEAN","","-3.0333","-3.034","-79.233","-79.24","SAE","","","s QC-100","VOL","/ ADAKITE [4687] ","","","","","","71","0.27","","15.85","","1.9","","","2.84","0.18","0.02","","1.95","4.83","0.09","","","","","","","","","","","","","","","","1.01","","","","","","","","","","","","","","","","","","","","","","","","","","","","3.5","","28","5","","","2.5","2.5","","","","","","","","44","535","4.9","70","3.1","","","","","","","","","","","","","1050","13.5","26.5","","12","2","0.6","1.7","","0.9","","0.4","","0.38","","","","","","","","","","","","","","2","","","","","","","","","","","","","","","","","","","","","","","","","","100562",
"[4687]","ANDEAN ARC / NORTHERN ANDEAN VOLCANIC ZONE / ECUADOR / QUIMSACOCHA VOLCANIC CENTER / PACIFIC OCEAN","","-3.0333","-3.034","-79.233","-79.24","SAE","","","s QC-109","VOL","/ ADAKITE [4687] ","","","","","","71.7","0.26","","15.6","","1.83","","","3.06","0.33","0.02","","1.98","4.87","0.09","","","","","","","","","","","","","","","","0.36","","","","","","","","","","","","","","","","","","","","","","","","","","","","3","","33","4","","","3","2.5","","","","","","","","46","545","4.7","72","3","","","","","","","","","","","","","1000","14","28","","13","2.3","0.62","1.85","","0.95","","0.4","","0.37","","","","","","","","","","","","","","2.1","","","","","","","","","","","","","","","","","","","","","","","","","","100563",
"[4739]","ANDEAN ARC / NORTHERN ANDEAN VOLCANIC ZONE / ECUADOR / ANTISANA / PACIFIC OCEAN","","-0.05","-0.05","-78.15","-78.15","SAE","","","s ANT 8","VOL","/ CALC-ALKALINE ROCK [4739] ","","","","","","61.7","0.78","","16","","5.85","","","5.47","3.02","0.09","","2.33","4.31","0.24","","","","","","","","","","","","","","","","-0.12","","","","","","","","","","","","","","","","","","","","","","","","","","","","11.3","","138","56","","","17.5","25","","","","","","","","62.5","776","11.7","111","8.7","","","","","","","","","","","","","846","26","48","","24","4.3","1.15","3.6","","2.3","","1.2","","0.94","","","","","","","","","","","","","","8.9","","0.512763","","","0.704242","","","","","","","","","","","","","","","","","","","","","100818",
"[4739]","ANDEAN ARC / NORTHERN ANDEAN VOLCANIC ZONE / ECUADOR / ANTISANA / PACIFIC OCEAN","","-0.05","-0.05","-78.15","-78.15","SAE","","","s ANT 10","VOL","/ CALC-ALKALINE ROCK [4739] ","","","","","","64.6","0.67","","15.32","","4.94","","","4.3","2.46","0.07","","3.26","4","0.21","","","","","","","","","","","","","","","","0.06","","","","","","","","","","","","","","","","","","","","","","","","","","","","9.6","","110","48","","","14","27.5","","","","","","","","128","655","15.6","147","11","","","","","","","","","","","","","940","35","64","","29.5","4.9","1.09","3.9","","2.7","","1.6","","1.31","","","","","","","","","","","","","","19.1","","0.512731","","","0.704398","","","","","","","","","","","","","","","","","","","","","100819",
"[4739]","ANDEAN ARC / NORTHERN ANDEAN VOLCANIC ZONE / ECUADOR / ANTISANA / PACIFIC OCEAN","","-0.05","-0.05","-78.15","-78.15","SAE","","","s ANT 14C","VOL","/ CALC-ALKALINE ROCK [4739] ","","","","","","65","0.64","","15.22","","4.69","","","3.95","2.23","0.07","","3.45","3.98","0.18","","","","","","","","","","","","","","","","-0.08","","","","","","","","","","","","","","","","","","","","","","","","","","","","9.1","","105","47","","","12","23","","","","","","","","139","535","15.1","147","11.6","","","","","","","","","","","","","925","35","64","","29","4.9","1.05","4","","2.8","","1.55","","1.34","","","","","","","","","","","","","","20.4","","0.512735","","","0.704403","","","","","","","","","","","","","","","","","","","","","100820",
"[4739]","ANDEAN ARC / NORTHERN ANDEAN VOLCANIC ZONE / ECUADOR / ANTISANA / PACIFIC OCEAN","","-0.05","-0.05","-78.15","-78.15","SAE","","","s ANT 26","VOL","/ ANDESITE [4739] ","","","","","","63","0.69","","16.05","","5.5","","","5.08","2.83","0.08","","2.82","4.07","0.2","","","","","","","","","","","","","","","","-0.04","","","","","","","","","","","","","","","","","","","","","","","","","","","","9.8","","122","73","","","16","30","","","","","","","","98","638","10.4","158","7.7","","","","","","","","","","","","","1060","30","53.5","","24.5","4.3","1.05","3.4","","2","","1.1","","0.77","","","","","","","","","","","","","","13","","0.512739","","","0.704411","","","","","","","","","","","","","","","","","","","","","100821",
"[4739]","ANDEAN ARC / NORTHERN ANDEAN VOLCANIC ZONE / ECUADOR / ANTISANA / PACIFIC OCEAN","","-0.05","-0.05","-78.15","-78.15","SAE","","","s ANT 28","VOL","/ CALC-ALKALINE ROCK [4739] ","","","","","","62.6","0.7","","16.05","","5.67","","","4.8","2.84","0.08","","2.63","3.7","0.21","","","","","","","","","","","","","","","","0.61","","","","","","","","","","","","","","","","","","","","","","","","","","","","10","","130","79","","","17","36","","","","","","","","96","597","10.8","156","8","","","","","","","","","","","","","1110","27.5","51","","23.5","4.2","1.07","3.4","","2.15","","1.1","","0.82","","","","","","","","","","","","","","12.5","","0.512745","","","0.70439","","","","","","","","","","","","","","","","","","","","","100822",
"[4739]","ANDEAN ARC / NORTHERN ANDEAN VOLCANIC ZONE / ECUADOR / ANTISANA / PACIFIC OCEAN","","-0.05","-0.05","-78.15","-78.15","SAE","","","s ANT 29C","VOL","/ CALC-ALKALINE ROCK [4739] ","","","","","","66.5","0.63","","14.9","","4.27","","","3.14","1.28","0.06","","3.75","3.88","0.2","","","","","","","","","","","","","","","","1.12","","","","","","","","","","","","","","","","","","","","","","","","","","","","5.9","","87","15","","","9","9","","","","","","","","165","436","17.3","252","13.4","","","","","","","","","","","","","1060","40","76","","34","5.8","1.12","4.6","","3.1","","1.75","","1.46","","","","","","","","","","","","","","24.5","","0.51275","","","0.704383","","","","","","","","","","","","","","","","","","","","","100823",
"[4739]","ANDEAN ARC / NORTHERN ANDEAN VOLCANIC ZONE / ECUADOR / ANTISANA / PACIFIC OCEAN","","-0.05","-0.05","-78.15","-78.15","SAE","","","s ANT 32","VOL","/ CALC-ALKALINE ROCK [4739] ","","","","","","67","0.61","","15.25","","4.18","","","3.25","1.3","0.06","","3.9","4","0.19","","","","","","","","","","","","","","","","0.32","","","","","","","","","","","","","","","","","","","","","","","","","","","","6","","79","17","","","10","11","","","","","","","","170","455","17.7","262","13.2","","","","","","","","","","","","","1130","40","76","","32.5","5.9","1.07","4.35","","3.05","","1.7","","1.45","","","","","","","","","","","","","","24.8","","0.512726","","","0.704453","","","","","","","","","","","","","","","","","","","","","100824",
"[4739]","ANDEAN ARC / NORTHERN ANDEAN VOLCANIC ZONE / ECUADOR / ANTISANA / PACIFIC OCEAN","","-0.05","-0.05","-78.15","-78.15","SAE","","","s ANT 36","VOL","/ CALC-ALKALINE ROCK [4739] ","","","","","","59","0.92","","16.35","","7.2","","","6.14","4.01","0.1","","2.2","3.94","0.28","","","","","","","","","","","","","","","","-0.13","","","","","","","","","","","","","","","","","","","","","","","","","","","","12.9","","166","108","","","23","49","","","","","","","","71","714","15.1","164","9.3","","","","","","","","","","","","","825","29","57","","28","5.35","1.33","4.3","","2.85","","1.4","","1.16","","","","","","","","","","","","","","10","","0.512734","","","0.70431","","","","","","","","","","","","","","","","","","","","","100825",
"[4739]","ANDEAN ARC / NORTHERN ANDEAN VOLCANIC ZONE / ECUADOR / ANTISANA / PACIFIC OCEAN","","-0.05","-0.05","-78.15","-78.15","SAE","","","s ANT 37","VOL","/ ANDESITE [4739] ","","","","","","59","0.94","","16.25","","6.75","","","5.94","3.3","0.09","","2.21","4.21","0.3","","","","","","","","","","","","","","","","0.28","","","","","","","","","","","","","","","","","","","","","","","","","","","","10.7","","158","90","","","22","40","","","","","","","","67","790","12.7","171","9.7","","","","","","","","","","","","","920","29","58","","29","5.3","1.35","4.1","","2.6","","1.25","","0.95","","","","","","","","","","","","","","9.2","","0.512749","","","0.704317","","","","","","","","","","","","","","","","","","","","","100826",
"[4739]","ANDEAN ARC / NORTHERN ANDEAN VOLCANIC ZONE / ECUADOR / ANTISANA / PACIFIC OCEAN","","-0.05","-0.05","-78.15","-78.15","SAE","","","s ANT 46","VOL","/ CALC-ALKALINE ROCK [4739] ","","","","","","58","0.91","","16.95","","7.4","","","6.27","3.73","0.09","","1.71","4.05","0.26","","","","","","","","","","","","","","","","0.37","","","","","","","","","","","","","","","","","","","","","","","","","","","","13","","167","94","","","24.5","43","","","","","","","","435","716","12.5","133","6.6","","","","","","","","","","","","","728","23","45","","24.5","4.7","1.28","4.2","","2.6","","1.3","","0.96","","","","","","","","","","","","","","5.5","","0.512728","","","0.704376","","","","","","","","","","","","","","","","","","","","","100827",
"[4739]","ANDEAN ARC / NORTHERN ANDEAN VOLCANIC ZONE / ECUADOR / ANTISANA / PACIFIC OCEAN","","-0.05","-0.05","-78.15","-78.15","SAE","","","s ANT 47","VOL","/ CALC-ALKALINE ROCK [4739] ","","","","","","55.9","0.95","","17.05","","7.91","","","6.33","4.88","0.1","","1.58","3.94","0.27","","","","","","","","","","","","","","","","0.58","","","","","","","","","","","","","","","","","","","","","","","","","","","","14.5","","180","174","","","30","80","","","","","","","","36","749","13","133","7.35","","","","","","","","","","","","","708","22.5","44","","24","4.7","1.29","3.9","","2.65","","1.35","","1.04","","","","","","","","","","","","","","4.7","","0.512736","","","0.704366","","","","","","","","","","","","","","","","","","","","","100828",
"[4739]","ANDEAN ARC / NORTHERN ANDEAN VOLCANIC ZONE / ECUADOR / ANTISANA / PACIFIC OCEAN","","-0.05","-0.05","-78.15","-78.15","SAE","","","s ANT 54","VOL","/ ANDESITE [4739] ","","","","","","53.2","1.16","","18.12","","8.55","","","7.2","3.62","0.12","","1.43","3.91","0.33","","","","","","","","","","","","","","","","1.91","","","","","","","","","","","","","","","","","","","","","","","","","","","","13.8","","205","13.5","","","26","16","","","","","","","","26.5","870","16.5","140","9.4","","","","","","","","","","","","","694","24.5","49","","26.5","5.3","1.51","4.85","","3.3","","1.6","","1.4","","","","","","","","","","","","","","4.7","","0.512722","","","0.704507","","","","","","","","","","","","","","","","","","","","","100829",
"[4739]","ANDEAN ARC / NORTHERN ANDEAN VOLCANIC ZONE / ECUADOR / ANTISANA / PACIFIC OCEAN","","-0.05","-0.05","-78.15","-78.15","SAE","","","s ANT 60","VOL","/ ANDESITE [4739] ","","","","","","57.9","1.08","","17.9","","7.4","","","5.81","2.45","0.11","","2.39","4.42","0.34","","","","","","","","","","","","","","","","-0.07","","","","","","","","","","","","","","","","","","","","","","","","","","","","13","","169","4","","","18","8.5","","","","","","","","66","735","19.3","189","10","","","","","","","","","","","","","960","29.5","57","","30","5.7","1.51","4.7","","3.6","","1.9","","1.73","","","","","","","","","","","","","","9.1","","0.512725","","","0.704336","","","","","","","","","","","","","","","","","","","","","100830",
"[4739]","ANDEAN ARC / NORTHERN ANDEAN VOLCANIC ZONE / ECUADOR / ANTISANA / PACIFIC OCEAN","","-0.05","-0.05","-78.15","-78.15","SAE","","","s ANT 61","VOL","/ ANDESITE [4739] ","","","","","","62.3","0.68","","16.2","","5.42","","","5.14","2.89","0.08","","2.37","4.09","0.22","","","","","","","","","","","","","","","","-0.02","","","","","","","","","","","","","","","","","","","","","","","","","","","","11","","129","99","","","17","34","","","","","","","","77.5","722","11.1","138","6.6","","","","","","","","","","","","","1065","30","53","","25","4.4","1.12","3.35","","2.15","","1.2","","0.87","","","","","","","","","","","","","","10.3","","0.512721","","","0.704365","","","","","","","","","","","","","","","","","","","","","100831",
"[4739]","ANDEAN ARC / NORTHERN ANDEAN VOLCANIC ZONE / ECUADOR / ANTISANA / PACIFIC OCEAN","","-0.05","-0.05","-78.15","-78.15","SAE","","","s ANT 62","VOL","/ ANDESITE [4739] ","","","","","","62.95","0.74","","16.15","","5.46","","","4.97","2.52","0.08","","2.42","4.25","0.24","","","","","","","","","","","","","","","","-0.09","","","","","","","","","","","","","","","","","","","","","","","","","","","","9.8","","123","32","","","16","21","","","","","","","","62","732","10.6","125","8.1","","","","","","","","","","","","","1130","29.5","55","","25","4.2","1.17","3.4","","2.15","","1.1","","0.86","","","","","","","","","","","","","","9.9","","0.512759","","","0.704261","","","","","","","","","","","","","","","","","","","","","100832",
"[4433]","ANDEAN ARC / CENTRAL ANDEAN VOLCANIC ZONE / PERU / PACIFIC OCEAN","QUILCA","-17","-17","-73","-73","SAE","","","s 626","MET","/ GNEISS, PYROXENE [4433] ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","131","194","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.7629","","","","","","","","","","","","","","","","","","","","","101643",
"[4433]","ANDEAN ARC / CENTRAL ANDEAN VOLCANIC ZONE / PERU / PACIFIC OCEAN","QUILCA","-17","-17","-73","-73","SAE","","","s 627","MET","/ GNEISS, PYROXENE [4433] ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","72","97","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.769","","","","","","","","","","","","","","","","","","","","","101644",
